INFO:root:Number of parameters: 369498
INFO:root:139: Acc-tr:  72.27, Acc-val:  10.41, L-tr: 0.8577, L-val: 6.0819
INFO:root:140: Acc-tr:  55.85, Acc-val:   9.53, L-tr: 1.4674, L-val: 6.8075
INFO:root:141: Acc-tr:  75.83, Acc-val:  10.16, L-tr: 0.7060, L-val: 5.5519
INFO:root:142: Acc-tr:  76.46, Acc-val:  10.14, L-tr: 0.7043, L-val: 5.5063
INFO:root:143: Acc-tr:  64.90, Acc-val:   9.94, L-tr: 1.0875, L-val: 6.1521
INFO:root:144: Acc-tr:  72.44, Acc-val:   9.82, L-tr: 0.8287, L-val: 5.7481
INFO:root:145: Acc-tr:  74.33, Acc-val:  10.03, L-tr: 0.7780, L-val: 5.5633
INFO:root:146: Acc-tr:  80.58, Acc-val:  10.07, L-tr: 0.5632, L-val: 5.3226
INFO:root:147: Acc-tr:  78.85, Acc-val:   9.73, L-tr: 0.6338, L-val: 5.2456
INFO:root:148: Acc-tr:  73.42, Acc-val:  10.58, L-tr: 0.8085, L-val: 5.7250
INFO:root:149: Acc-tr:  76.61, Acc-val:   9.93, L-tr: 0.6932, L-val: 5.3442
INFO:root:150: Acc-tr:  98.65, Acc-val:   9.99, L-tr: 0.0933, L-val: 5.4289
INFO:root:151: Acc-tr:  99.72, Acc-val:   9.83, L-tr: 0.0463, L-val: 5.9020
INFO:root:152: Acc-tr:  99.90, Acc-val:  10.11, L-tr: 0.0297, L-val: 6.2155
INFO:root:153: Acc-tr:  99.95, Acc-val:   9.96, L-tr: 0.0200, L-val: 6.5226
INFO:root:154: Acc-tr:  99.98, Acc-val:  10.11, L-tr: 0.0150, L-val: 6.7162
INFO:root:155: Acc-tr:  99.99, Acc-val:   9.92, L-tr: 0.0112, L-val: 6.8881
INFO:root:156: Acc-tr:  99.99, Acc-val:   9.82, L-tr: 0.0089, L-val: 7.0890
INFO:root:157: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0076, L-val: 7.2021
INFO:root:158: Acc-tr:  99.99, Acc-val:   9.85, L-tr: 0.0063, L-val: 7.2708
INFO:root:159: Acc-tr:  99.99, Acc-val:   9.66, L-tr: 0.0054, L-val: 7.3919
INFO:root:160: Acc-tr: 100.00, Acc-val:   9.75, L-tr: 0.0050, L-val: 7.4819
INFO:root:161: Acc-tr: 100.00, Acc-val:   9.77, L-tr: 0.0043, L-val: 7.5326
INFO:root:162: Acc-tr: 100.00, Acc-val:   9.72, L-tr: 0.0038, L-val: 7.5859
INFO:root:163: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0035, L-val: 7.6101
INFO:root:164: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0033, L-val: 7.6515
INFO:root:165: Acc-tr: 100.00, Acc-val:   9.73, L-tr: 0.0029, L-val: 7.7458
INFO:root:166: Acc-tr: 100.00, Acc-val:   9.72, L-tr: 0.0027, L-val: 7.8166
INFO:root:167: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0026, L-val: 7.8183
INFO:root:168: Acc-tr: 100.00, Acc-val:   9.75, L-tr: 0.0024, L-val: 7.8567
INFO:root:169: Acc-tr: 100.00, Acc-val:   9.55, L-tr: 0.0023, L-val: 7.8909
INFO:root:170: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0023, L-val: 7.9532
INFO:root:171: Acc-tr: 100.00, Acc-val:   9.72, L-tr: 0.0022, L-val: 7.8730
INFO:root:172: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0019, L-val: 7.9744
INFO:root:173: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0019, L-val: 7.9670
INFO:root:174: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0020, L-val: 7.9572
INFO:root:175: Acc-tr: 100.00, Acc-val:   9.72, L-tr: 0.0017, L-val: 8.0343
INFO:root:176: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0016, L-val: 8.0569
INFO:root:177: Acc-tr: 100.00, Acc-val:   9.74, L-tr: 0.0016, L-val: 8.0580
INFO:root:178: Acc-tr: 100.00, Acc-val:   9.79, L-tr: 0.0016, L-val: 8.0484
INFO:root:179: Acc-tr: 100.00, Acc-val:   9.64, L-tr: 0.0015, L-val: 8.0512
INFO:root:180: Acc-tr: 100.00, Acc-val:   9.71, L-tr: 0.0014, L-val: 8.0820
INFO:root:181: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0013, L-val: 8.0879
INFO:root:182: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0013, L-val: 8.0880
INFO:root:183: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0014, L-val: 8.0243
INFO:root:184: Acc-tr: 100.00, Acc-val:   9.89, L-tr: 0.0013, L-val: 8.0712
INFO:root:185: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0013, L-val: 8.0965
INFO:root:186: Acc-tr: 100.00, Acc-val:   9.99, L-tr: 0.0013, L-val: 8.0312
INFO:root:187: Acc-tr: 100.00, Acc-val:  10.05, L-tr: 0.0014, L-val: 8.0499
INFO:root:188: Acc-tr: 100.00, Acc-val:  10.05, L-tr: 0.0013, L-val: 8.1113
INFO:root:189: Acc-tr: 100.00, Acc-val:  10.00, L-tr: 0.0012, L-val: 8.0453
INFO:root:190: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0012, L-val: 8.0846
INFO:root:191: Acc-tr: 100.00, Acc-val:  10.03, L-tr: 0.0012, L-val: 8.1091
INFO:root:192: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0011, L-val: 8.0955
INFO:root:193: Acc-tr: 100.00, Acc-val:   9.89, L-tr: 0.0011, L-val: 8.0611
INFO:root:194: Acc-tr: 100.00, Acc-val:   9.71, L-tr: 0.0011, L-val: 8.0771
INFO:root:195: Acc-tr: 100.00, Acc-val:   9.89, L-tr: 0.0011, L-val: 8.1241
